,order,symbol,volume,open_price,close_price,profit,open_time,close_time,nominalValue,cmd,opened_days,description,category,currency,current_ask,current_bid,current_time,afterclosing_days,potential_profit,open_date,close_date,current_date,profit_percentage,potential_profit_percentage
0,354572249,SHOP.US_9,22.0,89.94,77.88,-252.97,1707762974645,1707834842663,1844.22,0,0.8,Shopify Inc. - class A  (Cboe BZX Real-Time Quote),STC,USD,75.59,75.57,1709153999415,15.3,-315.7,2024-02-12 18:36:14.645,2024-02-13 14:34:02.663,2024-02-28 20:59:59.415,-12.78,-15.96
1,354066351,TSLA.DE,5.0,179.26,179.2,-0.3,1707741678000,1707742645725,896.3,0,0.0,Tesla Inc,STC,EUR,188.6,188.56,1709215759354,17.0,46.7,2024-02-12 12:41:18.000,2024-02-12 12:57:25.725,2024-02-29 14:09:19.354,-0.03,5.21
2,354059906,UBI.FR_9,1.0,23.44,23.44,0.0,1707734415652,1707740798542,23.44,0,0.1,Ubisoft Entertainment SA,STC,EUR,21.37,21.35,1709215757801,17.1,-2.07,2024-02-12 10:40:15.652,2024-02-12 12:26:38.542,2024-02-29 14:09:17.801,0.0,-8.83
3,354059905,UBI.FR_9,39.0,23.44,23.44,0.0,1707734415652,1707740798542,914.16,0,0.1,Ubisoft Entertainment SA,STC,EUR,21.37,21.35,1709215757801,17.1,-80.73,2024-02-12 10:40:15.652,2024-02-12 12:26:38.542,2024-02-29 14:09:17.801,0.0,-8.83
4,353798237,ABI.BE_9,18.0,60.99,60.02,-17.46,1707389108705,1707495478346,1097.82,0,1.2,Anheuser-Busch InBev SA/NV,STC,EUR,56.56,56.54,1709215742088,19.9,-79.74,2024-02-08 10:45:08.705,2024-02-09 16:17:58.346,2024-02-29 14:09:02.088,-1.59,-7.26
5,353798014,SIE.DE_9,6.0,167.32,164.88,-14.64,1707382280000,1707495462000,1003.92,0,1.3,Siemens AG,STC,EUR,182.58,182.56,1709215761340,19.9,91.56,2024-02-08 08:51:20.000,2024-02-09 16:17:42.000,2024-02-29 14:09:21.340,-1.46,9.12
6,353797794,QCOM.US_9,8.0,141.42,150.99,68.56,1706817980202,1707495435130,1045.64,0,7.8,QUALCOMM Inc (Cboe BZX Real-Time Quote),STC,USD,155.88,155.84,1709153999870,19.2,115.68,2024-02-01 20:06:20.202,2024-02-09 16:17:15.130,2024-02-28 20:59:59.870,6.06,10.22
7,353793097,PLTR.US_9,36.0,24.99,23.86,-46.2,1707417326956,1707494848471,838.79,0,0.9,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,19.2,-19.8,2024-02-08 18:35:26.956,2024-02-09 16:07:28.471,2024-02-28 20:59:57.176,-5.14,-2.2
8,353008478,CBK.DE_9,90.0,10.805,10.31,-44.55,1707122371000,1707318109000,972.45,0,2.3,Commerzbank AG,STC,EUR,10.835,10.83,1709215750378,22.0,2.7,2024-02-05 08:39:31.000,2024-02-07 15:01:49.000,2024-02-29 14:09:10.378,-4.58,0.28
9,352971582,ABI.BE_9,18.0,57.66,59.99,41.94,1706615673490,1707316361700,1037.88,0,8.1,Anheuser-Busch InBev SA/NV,STC,EUR,56.56,56.54,1709215742088,22.0,-19.8,2024-01-30 11:54:33.490,2024-02-07 14:32:41.700,2024-02-29 14:09:02.088,4.04,-1.91
10,352450072,BAYN.DE_9,34.0,29.14,28.0,-38.76,1707122188000,1707206595552,990.76,0,1.0,Bayer AG,STC,EUR,28.31,28.3,1709215758602,23.3,-28.22,2024-02-05 08:36:28.000,2024-02-06 08:03:15.552,2024-02-29 14:09:18.602,-3.91,-2.85
11,351900782,NEE.US_9,12.0,59.15,58.84,-8.89,1706553510720,1706903578770,659.86,0,4.1,NextEra Energy Inc (Cboe BZX Real-Time Quote),STC,USD,55.05,55.04,1709153999466,26.0,-49.2,2024-01-29 18:38:30.720,2024-02-02 19:52:58.770,2024-02-28 20:59:59.466,-1.25,-6.93
12,351735908,EDPR.PT_9,65.0,15.1,14.8,-19.5,1706784308476,1706884537439,981.5,0,1.2,EDP Renovaveis SA,STC,EUR,12.825,12.82,1709215761027,27.0,-147.88,2024-02-01 10:45:08.476,2024-02-02 14:35:37.439,2024-02-29 14:09:21.027,-1.99,-15.07
13,351621093,P911.DE_9,12.0,79.34,83.18,46.08,1706791889000,1706874614286,952.08,0,1.0,Dr Ing hc F Porsche AG - preference shares,STC,EUR,87.3,87.26,1709215752395,27.1,95.52,2024-02-01 12:51:29.000,2024-02-02 11:50:14.286,2024-02-29 14:09:12.395,4.84,10.03
14,351112079,ADS.DE_9,6.0,160.82,161.04,1.32,1706777059000,1706777627000,964.92,0,0.0,Adidas AG,STC,EUR,189.04,189.02,1709215755158,28.2,169.32,2024-02-01 08:44:19.000,2024-02-01 08:53:47.000,2024-02-29 14:09:15.158,0.14,17.55
15,350951337,SYM.US,24.0,44.34,44.73,-1.2,1706729995250,1706730573180,985.09,0,0.0,Symbotic Inc - class A (Cboe BZX Real-Time Quote),STC,USD,39.75,39.51,1709153999903,28.0,-110.16,2024-01-31 19:39:55.250,2024-01-31 19:49:33.180,2024-02-28 20:59:59.903,-0.11,-10.35
16,350928770,SYM.US,5.0,43.44,43.42,-1.43,1706711489471,1706729320041,200.84,0,0.2,Symbotic Inc - class A (Cboe BZX Real-Time Quote),STC,USD,39.75,39.51,1709153999903,28.1,-18.45,2024-01-31 14:31:29.471,2024-01-31 19:28:40.041,2024-02-28 20:59:59.903,-0.66,-8.49
17,350928769,SYM.US,19.0,43.44,43.42,-5.43,1706711481470,1706729320041,763.2,0,0.2,Symbotic Inc - class A (Cboe BZX Real-Time Quote),STC,USD,39.75,39.51,1709153999903,28.1,-70.11,2024-01-31 14:31:21.470,2024-01-31 19:28:40.041,2024-02-28 20:59:59.903,-0.66,-8.49
18,350747317,SMCI.US_9,2.0,517.6,504.0,-37.46,1706639592717,1706711491184,960.15,0,0.8,Super Micro Computer Inc,STC,USD,820.62,816.64,1709153995284,28.3,606.04,2024-01-30 18:33:12.717,2024-01-31 14:31:31.184,2024-02-28 20:59:55.284,-3.62,58.54
19,350615661,MSF.DE_9,3.0,380.35,372.25,-24.3,1706622449000,1706691980963,1141.05,0,0.8,Microsoft Corp,STC,EUR,377.95,377.75,1709215763882,29.2,-7.2,2024-01-30 13:47:29.000,2024-01-31 09:06:20.963,2024-02-29 14:09:23.882,-2.13,-0.63
20,350591786,TSLA.DE,6.0,180.2,172.3,-47.4,1706622102000,1706688404529,1081.2,0,0.8,Tesla Inc,STC,EUR,188.7,188.56,1709215764477,29.3,51.0,2024-01-30 13:41:42.000,2024-01-31 08:06:44.529,2024-02-29 14:09:24.477,-4.38,4.72
21,350461276,PLTR.US_9,48.0,16.68,16.7,-8.85,1706553317750,1706635600396,744.31,0,1.0,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,29.1,372.48,2024-01-29 18:35:17.750,2024-01-30 17:26:40.396,2024-02-28 20:59:57.176,-1.11,46.52
22,350461275,PLTR.US_9,20.0,16.68,16.7,-3.69,1706553317750,1706635600396,310.13,0,1.0,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,29.1,155.2,2024-01-29 18:35:17.750,2024-01-30 17:26:40.396,2024-02-28 20:59:57.176,-1.11,46.52
23,350461274,PLTR.US_9,2.0,16.68,16.7,-0.37,1706553317739,1706635600396,31.01,0,1.0,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,29.1,15.52,2024-01-29 18:35:17.739,2024-01-30 17:26:40.396,2024-02-28 20:59:57.176,-1.11,46.52
24,350288563,BEI.DE_9,10.0,134.45,136.15,17.0,1706264331000,1706614443389,1344.5,0,4.1,Beiersdorf AG,STC,EUR,133.8,133.7,1709215762397,30.1,-6.5,2024-01-26 10:18:51.000,2024-01-30 11:34:03.389,2024-02-29 14:09:22.397,1.26,-0.48
25,350251012,MBG.DE_9,15.0,60.02,61.64,24.3,1706258106000,1706606387777,900.3,0,4.0,Mercedes-Benz Group AG,STC,EUR,73.97,73.96,1709215765046,30.2,209.25,2024-01-26 08:35:06.000,2024-01-30 09:19:47.777,2024-02-29 14:09:25.046,2.7,23.24
26,350242652,IFX.DE_9,27.0,33.905,33.775,-3.51,1706604122000,1706604503000,915.44,0,0.0,Infineon Technologies AG,STC,EUR,33.305,33.3,1709215765371,30.2,-16.2,2024-01-30 08:42:02.000,2024-01-30 08:48:23.000,2024-02-29 14:09:25.371,-0.38,-1.77
27,350239619,VWS.DK_9,40.0,197.44,196.3,-16.78,1706111166195,1706603832575,1064.77,0,5.7,Vestas Wind Systems A/S,STC,DKK,193.88,193.78,1709215760098,30.2,-142.4,2024-01-24 15:46:06.195,2024-01-30 08:37:12.575,2024-02-29 14:09:20.098,-0.21,-1.8
28,350107381,PLTR.US_9,100.0,16.52,16.6,-0.37,1706288347230,1706551398520,1528.09,0,3.0,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,30.1,792.0,2024-01-26 16:59:07.230,2024-01-29 18:03:18.520,2024-02-28 20:59:57.176,-0.02,47.94
29,349665935,APC.DE,10.0,179.9,178.98,-9.2,1706111540000,1706286037000,1799.0,0,2.0,Apple Inc,STC,EUR,167.4,167.36,1709215761764,33.9,-125.0,2024-01-24 15:52:20.000,2024-01-26 16:20:37.000,2024-02-29 14:09:21.764,-0.51,-6.95
30,348882870,NEM.US_9,30.0,34.85,35.1,-3.06,1705945342041,1706111358065,964.08,0,1.9,Newmont Mining Corp (Cboe BZX Real-Time Quote),STC,USD,29.88,29.87,1709153999831,35.2,-149.1,2024-01-22 17:42:22.041,2024-01-24 15:49:18.065,2024-02-28 20:59:59.831,-0.29,-14.26
31,348877515,STLAM.IT_9,50.0,19.868,19.486,-19.1,1705914085800,1706110974263,993.4,0,2.3,Stellantis NV,STC,EUR,24.345,24.335,1709215765041,35.9,223.85,2024-01-22 09:01:25.800,2024-01-24 15:42:54.263,2024-02-29 14:09:25.041,-1.92,22.53
32,348844926,SIE.DE_9,6.0,162.56,166.44,23.28,1705921268000,1706108616998,975.36,0,2.2,Siemens AG,STC,EUR,182.56,182.54,1709215765578,36.0,120.0,2024-01-22 11:01:08.000,2024-01-24 15:03:36.998,2024-02-29 14:09:25.578,2.39,12.3
33,348842223,MBG.DE_9,15.0,59.81,60.7,13.35,1705654174000,1706108575866,897.15,0,5.3,Mercedes-Benz Group AG,STC,EUR,73.97,73.96,1709215765046,36.0,212.4,2024-01-19 08:49:34.000,2024-01-24 15:02:55.866,2024-02-29 14:09:25.046,1.49,23.67
34,348800675,VAR1.DE_9,57.0,17.72,17.75,1.71,1705914331000,1706106267820,1010.04,0,2.2,Varta AG,STC,EUR,15.265,15.225,1709215749277,36.0,-139.93,2024-01-22 09:05:31.000,2024-01-24 14:24:27.820,2024-02-29 14:09:09.277,0.17,-13.85
35,348128507,SLB.US_9,23.0,48.18,50.5,35.89,1705602474619,1705938393817,1025.56,0,3.9,Schlumberger Ltd (Cboe BZX Real-Time Quote),STC,USD,48.16,48.14,1709153997659,37.2,-0.46,2024-01-18 18:27:54.619,2024-01-22 15:46:33.817,2024-02-28 20:59:57.659,3.24,-0.04
36,347988720,BBVA.ES_9,120.0,8.096,8.104,0.96,1705920394346,1705921027401,971.52,0,0.0,Banco Bilbao Vizcaya Argentaria SA,STC,EUR,9.212,9.208,1709215765046,38.1,133.92,2024-01-22 10:46:34.346,2024-01-22 10:57:07.401,2024-02-29 14:09:25.046,0.1,13.78
37,347985159,IFX.DE_9,27.0,34.22,34.53,8.37,1705676288000,1705920109000,923.94,0,2.8,Infineon Technologies AG,STC,EUR,33.305,33.3,1709215765371,38.1,-24.7,2024-01-19 14:58:08.000,2024-01-22 10:41:49.000,2024-02-29 14:09:25.371,0.91,-2.67
38,347961119,JMT.PT_9,47.0,21.24,21.06,-8.46,1705058717276,1705913965369,998.28,0,9.9,Jeronimo Martins SGPS SA,STC,EUR,22.34,22.3,1709215650745,38.2,51.7,2024-01-12 11:25:17.276,2024-01-22 08:59:25.369,2024-02-29 14:07:30.745,-0.85,5.18
39,347961114,JMT.PT_9,0.222,21.24,21.06,-0.04,1705058717276,1705913964760,4.72,0,9.9,Jeronimo Martins SGPS SA,STC,EUR,22.34,22.3,1709215650745,38.2,0.24,2024-01-12 11:25:17.276,2024-01-22 08:59:24.760,2024-02-29 14:07:30.745,-0.85,5.09
40,347961076,JMT.PT_9,0.889,21.24,21.06,-0.16,1705058717276,1705913953238,18.88,0,9.9,Jeronimo Martins SGPS SA,STC,EUR,22.34,22.3,1709215650745,38.2,0.98,2024-01-12 11:25:17.276,2024-01-22 08:59:13.238,2024-02-29 14:07:30.745,-0.85,5.19
41,347960998,JMT.PT_9,0.889,21.24,21.06,-0.16,1705058717276,1705913937596,18.88,0,9.9,Jeronimo Martins SGPS SA,STC,EUR,22.34,22.3,1709215650745,38.2,0.98,2024-01-12 11:25:17.276,2024-01-22 08:58:57.596,2024-02-29 14:07:30.745,-0.85,5.19
42,347640763,IFX.DE_9,27.0,33.24,34.145,24.44,1705573124000,1705675216948,897.48,0,1.2,Infineon Technologies AG,STC,EUR,33.305,33.3,1709215768497,41.0,1.75,2024-01-18 10:18:44.000,2024-01-19 14:40:16.948,2024-02-29 14:09:28.497,2.72,0.19
43,347619372,CON.DE_9,14.0,72.32,70.9,-19.88,1705572755000,1705673675000,1012.48,0,1.2,Continental AG,STC,EUR,73.98,73.96,1709215752205,41.0,23.24,2024-01-18 10:12:35.000,2024-01-19 14:14:35.000,2024-02-29 14:09:12.205,-1.96,2.3
44,347363184,CSCO.US_9,20.0,50.08,50.55,7.93,1704381954727,1705602605838,918.46,0,14.1,Cisco Systems Inc (Cboe BZX Real-Time Quote),STC,USD,48.06,48.04,1709153993274,41.1,-40.4,2024-01-04 15:25:54.727,2024-01-18 18:30:05.838,2024-02-28 20:59:53.274,0.79,-4.03
45,347358375,QCOM.US_9,8.0,140.24,143.38,19.43,1704827358342,1705602150450,1031.9,0,9.0,QUALCOMM Inc (Cboe BZX Real-Time Quote),STC,USD,155.88,155.84,1709153999870,41.1,125.12,2024-01-09 19:09:18.342,2024-01-18 18:22:30.450,2024-02-28 20:59:59.870,1.73,11.15
46,347125818,RTO.UK_9,200.0,4.191,3.939,-67.24,1705055813274,1705573067524,980.22,0,6.0,Rentokil Initial PLC,STC,GBP,4.407,4.404,1709215762417,42.2,43.2,2024-01-12 10:36:53.274,2024-01-18 10:17:47.524,2024-02-29 14:09:22.417,-8.02,5.15
47,346559392,DIS.US_9,12.0,90.57,92.64,19.94,1704475384732,1705435839789,997.22,0,11.1,Walt Disney Co (Cboe BZX Real-Time Quote),STC,USD,110.77,110.76,1709153999717,43.0,242.4,2024-01-05 17:23:04.732,2024-01-16 20:10:39.789,2024-02-28 20:59:59.717,1.83,22.3
48,345291411,BNTX.US_9,8.0,105.85,100.49,-48.01,1704898696543,1704997970801,778.11,0,1.1,BioNTech SE - ADR (Cboe BZX Real-Time Quote),STC,USD,91.44,91.34,1709153997872,48.1,-115.28,2024-01-10 14:58:16.543,2024-01-11 18:32:50.801,2024-02-28 20:59:57.872,-5.67,-13.61
49,345202743,GOOGC.US_9,1.0,143.06,143.76,0.89,1703687419946,1704988701050,129.8,0,15.1,Alphabet Inc - class C (Cboe BZX Real-Time Quote),STC,USD,137.35,137.34,1709153999507,48.2,-5.71,2023-12-27 14:30:19.946,2024-01-11 15:58:21.050,2024-02-28 20:59:59.507,0.62,-3.99
50,345017357,BAYN.DE_9,1.0,35.145,34.495,-0.65,1704893267000,1704975116000,35.15,0,0.9,Bayer AG,STC,EUR,28.295,28.29,1709215765319,49.1,-6.85,2024-01-10 13:27:47.000,2024-01-11 12:11:56.000,2024-02-29 14:09:25.319,-1.85,-19.49
51,345017356,BAYN.DE_9,28.0,35.43,34.495,-26.18,1704790787000,1704975116000,992.04,0,2.1,Bayer AG,STC,EUR,28.295,28.29,1709215765319,49.1,-199.78,2024-01-09 08:59:47.000,2024-01-11 12:11:56.000,2024-02-29 14:09:25.319,-2.64,-20.14
52,344706485,S.US_9,36.0,23.72,24.62,23.88,1704728006356,1704897623709,782.41,0,2.0,SentinelOne Inc (Cboe BZX Real-Time Quote),STC,USD,28.24,28.22,1709153980922,49.3,162.72,2024-01-08 15:33:26.356,2024-01-10 14:40:23.709,2024-02-28 20:59:40.922,2.8,19.06
53,344706483,S.US_9,2.0,23.72,24.62,1.32,1704728006356,1704897623709,43.47,0,2.0,SentinelOne Inc (Cboe BZX Real-Time Quote),STC,USD,28.24,28.22,1709153980922,49.3,9.04,2024-01-08 15:33:26.356,2024-01-10 14:40:23.709,2024-02-28 20:59:40.922,2.78,19.06
54,344706481,S.US_9,2.0,23.72,24.62,1.32,1704728006356,1704897623708,43.47,0,2.0,SentinelOne Inc (Cboe BZX Real-Time Quote),STC,USD,28.24,28.22,1709153980922,49.3,9.04,2024-01-08 15:33:26.356,2024-01-10 14:40:23.708,2024-02-28 20:59:40.922,2.78,19.06
55,344682775,BAYN.DE_9,1.0,35.43,34.93,-0.5,1704790787000,1704894996000,35.43,0,1.2,Bayer AG,STC,EUR,28.295,28.29,1709215765319,50.0,-7.13,2024-01-09 08:59:47.000,2024-01-10 13:56:36.000,2024-02-29 14:09:25.319,-1.41,-20.12
56,344671044,BAYN.DE_9,1.0,35.43,35.135,-0.29,1704790787000,1704893255000,35.43,0,1.2,Bayer AG,STC,EUR,28.295,28.29,1709215765319,50.0,-7.13,2024-01-09 08:59:47.000,2024-01-10 13:27:35.000,2024-02-29 14:09:25.319,-0.82,-20.12
57,343944315,SMCI.US_9,3.0,294.0,312.3,40.72,1704480429505,1704727631976,809.29,0,2.9,Super Micro Computer Inc,STC,USD,820.62,816.64,1709153995284,51.2,1579.86,2024-01-05 18:47:09.505,2024-01-08 15:27:11.976,2024-02-28 20:59:55.284,4.62,179.12
58,343778062,BAYN.DE_9,28.0,34.635,35.23,16.66,1704273849000,1704705854000,969.78,0,5.0,Bayer AG,STC,EUR,28.295,28.29,1709215765319,52.2,-177.52,2024-01-03 09:24:09.000,2024-01-08 09:24:14.000,2024-02-29 14:09:25.319,1.72,-18.31
59,343584881,PYPL.US_9,8.0,62.61,59.59,-19.79,1703698312680,1704479813398,453.01,0,9.0,PayPal Holdings Inc (Cboe BZX Real-Time Quote),STC,USD,60.25,60.23,1709153995768,54.1,-18.88,2023-12-27 17:31:52.680,2024-01-05 18:36:53.398,2024-02-28 20:59:55.768,-3.95,-3.77
60,343584880,PYPL.US_9,0.8298,62.61,59.59,-2.05,1703698311979,1704479813398,46.99,0,9.0,PayPal Holdings Inc (Cboe BZX Real-Time Quote),STC,USD,60.25,60.23,1709153995768,54.1,-1.96,2023-12-27 17:31:51.979,2024-01-05 18:36:53.398,2024-02-28 20:59:55.768,-3.95,-3.77
61,343584879,PYPL.US_9,2.1702,62.67,59.59,-6.27,1703623688048,1704479813398,123.79,0,9.9,PayPal Holdings Inc (Cboe BZX Real-Time Quote),STC,USD,60.25,60.23,1709153995768,54.1,-5.25,2023-12-26 20:48:08.048,2024-01-05 18:36:53.398,2024-02-28 20:59:55.768,-4.61,-3.86
62,343584876,PYPL.US_9,0.8298,62.67,59.59,-2.39,1703623688048,1704479812906,47.33,0,9.9,PayPal Holdings Inc (Cboe BZX Real-Time Quote),STC,USD,60.25,60.23,1709153995768,54.1,-2.01,2023-12-26 20:48:08.048,2024-01-05 18:36:52.906,2024-02-28 20:59:55.768,-4.6,-3.87
63,343557647,NEE.US_9,18.0,60.33,61.8,28.43,1703696105564,1704475156946,982.3,0,9.0,NextEra Energy Inc (Cboe BZX Real-Time Quote),STC,USD,55.05,55.04,1709153999466,54.2,-95.04,2023-12-27 16:55:05.564,2024-01-05 17:19:16.946,2024-02-28 20:59:59.466,2.62,-8.75
64,343557646,NEE.US_9,0.3216,60.33,61.8,0.51,1703696104838,1704475156946,17.55,0,9.0,NextEra Energy Inc (Cboe BZX Real-Time Quote),STC,USD,55.05,55.04,1709153999466,54.2,-1.7,2023-12-27 16:55:04.838,2024-01-05 17:19:16.946,2024-02-28 20:59:59.466,2.63,-8.76
65,343557645,NEE.US_9,1.6784,59.92,61.8,3.0,1703687512760,1704475156946,91.25,0,9.1,NextEra Energy Inc (Cboe BZX Real-Time Quote),STC,USD,55.05,55.04,1709153999466,54.2,-8.17,2023-12-27 14:31:52.760,2024-01-05 17:19:16.946,2024-02-28 20:59:59.466,2.98,-8.12
66,343557640,NEE.US_9,0.3216,59.92,61.8,0.58,1703687512760,1704475156197,17.48,0,9.1,NextEra Energy Inc (Cboe BZX Real-Time Quote),STC,USD,55.05,55.04,1709153999466,54.2,-1.57,2023-12-27 14:31:52.760,2024-01-05 17:19:16.197,2024-02-28 20:59:59.466,3.01,-8.15
67,342420291,EUNL.DE,2.0,76.866,82.084,10.44,1699348392552,1704272679488,153.73,0,57.0,iShares Core MSCI World UCITS (Acc EUR),ETF,EUR,88.298,88.288,1709215773473,57.2,22.86,2023-11-07 09:13:12.552,2024-01-03 09:04:39.488,2024-02-29 14:09:33.473,6.79,14.87
68,342420166,QDVE.DE,1.0,20.75,21.82,1.07,1699348819000,1704272661000,20.75,0,57.0,iShares S&P 500 Information Technology Sector UCITS (Acc EUR),ETF,EUR,25.085,25.075,1709215645387,57.2,4.34,2023-11-07 09:20:19.000,2024-01-03 09:04:21.000,2024-02-29 14:07:25.387,5.16,20.92
69,342420165,QDVE.DE,2.0,20.765,21.82,2.11,1699348671000,1704272661000,41.53,0,57.0,iShares S&P 500 Information Technology Sector UCITS (Acc EUR),ETF,EUR,25.085,25.075,1709215645387,57.2,8.64,2023-11-07 09:17:51.000,2024-01-03 09:04:21.000,2024-02-29 14:07:25.387,5.08,20.8
70,342420164,QDVE.DE,1.0,20.765,21.825,1.06,1699348671000,1704272661000,20.77,0,57.0,iShares S&P 500 Information Technology Sector UCITS (Acc EUR),ETF,EUR,25.085,25.075,1709215645387,57.2,4.32,2023-11-07 09:17:51.000,2024-01-03 09:04:21.000,2024-02-29 14:07:25.387,5.1,20.8
71,342420034,2B76.DE_9,1.0,10.098,11.604,1.5,1699348842000,1704272643000,10.1,0,57.0,iShares Automation & Robotics UCITS (Acc EUR),ETF,EUR,12.548,12.536,1709215668796,57.2,2.45,2023-11-07 09:20:42.000,2024-01-03 09:04:03.000,2024-02-29 14:07:48.796,14.85,24.26
72,342420033,2B76.DE_9,5.0,10.106,11.604,7.49,1699348500000,1704272643000,50.53,0,57.0,iShares Automation & Robotics UCITS (Acc EUR),ETF,EUR,12.548,12.536,1709215668796,57.2,12.21,2023-11-07 09:15:00.000,2024-01-03 09:04:03.000,2024-02-29 14:07:48.796,14.82,24.16
73,342419761,XDWH.DE,1.0,43.91,46.77,2.86,1699348725000,1704272571000,43.91,0,57.0,Xtrackers MSCI World Health Care UCITS 1C (Acc EUR),ETF,EUR,49.38,49.35,1709215773772,57.2,5.47,2023-11-07 09:18:45.000,2024-01-03 09:02:51.000,2024-02-29 14:09:33.772,6.51,12.46
74,342419696,VUAA.DE,2.0,76.476,81.384,9.82,1699348330000,1704272553000,152.95,0,57.0,Vanguard S&P 500 UCITS (Acc EUR),ETF,EUR,88.5,88.48,1709215773840,57.2,24.05,2023-11-07 09:12:10.000,2024-01-03 09:02:33.000,2024-02-29 14:09:33.840,6.42,15.72
75,342218988,SPWR.US_9,112.0,4.9,5.12,24.3,1703698377164,1704208728629,496.38,0,5.9,SunPower Corp (Cboe BZX Real-Time Quote),STC,USD,3.17,3.15,1709153853102,57.2,-193.76,2023-12-27 17:32:57.164,2024-01-02 15:18:48.629,2024-02-28 20:57:33.102,4.43,-35.31
76,342218987,SPWR.US_9,0.8173,4.9,5.12,0.18,1703698375922,1704208728629,3.62,0,5.9,SunPower Corp (Cboe BZX Real-Time Quote),STC,USD,3.17,3.15,1709153853102,57.2,-1.41,2023-12-27 17:32:55.922,2024-01-02 15:18:48.629,2024-02-28 20:57:33.102,4.49,-35.21
77,342218986,SPWR.US_9,20.1827,4.74,5.12,7.03,1703687534469,1704208728629,86.8,0,6.0,SunPower Corp (Cboe BZX Real-Time Quote),STC,USD,3.17,3.15,1709153853102,57.2,-31.69,2023-12-27 14:32:14.469,2024-01-02 15:18:48.629,2024-02-28 20:57:33.102,7.35,-33.13
78,342218981,SPWR.US_9,0.8173,4.74,5.12,0.28,1703687534469,1704208728179,3.52,0,6.0,SunPower Corp (Cboe BZX Real-Time Quote),STC,USD,3.17,3.15,1709153853102,57.2,-1.28,2023-12-27 14:32:14.469,2024-01-02 15:18:48.179,2024-02-28 20:57:33.102,7.23,-33.04
